suite,mode,backend,kernel,n,block_size,divergence_degree,iterations,elapsed_ms,threads_launched,elements_per_thread,useful_ops,throughput_gops,gflops_est,slowdown_vs_uniform,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
compute,divergence-gpu,gpu,divergent,65536,1024,2,512,0.172326397895813,65536,1.0,268435456,1557.7152385108966,1557.7152385108966,1.5117624053891008,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,65536,1024,4,512,0.27980159521102904,65536,1.0,268435456,959.3778612932617,959.3778612932617,2.454606710131961,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,65536,1024,8,512,0.49787519574165345,65536,1.0,268435456,539.1621400221165,539.1621400221165,4.367694170413917,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,65536,1024,16,512,0.9348544001579284,65536,1.0,268435456,287.14145855723865,287.14145855723865,8.201167980809243,1,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,65536,1024,32,512,1.940608024597168,65536,1.0,268435456,138.32543852111604,138.32543852111604,17.024311370775116,1,32,32,1.0,,,
compute,uniform,gpu,uniform,131072,32,1,512,0.13115519881248475,131072,1.0,536870912,4093.401686406463,4093.401686406463,1.0,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,131072,32,2,512,0.22529919743537902,131072,1.0,536870912,2382.924209723325,2382.924209723325,1.7178060761243164,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,131072,32,4,512,0.37859839797019956,131072,1.0,536870912,1418.0485572003356,1418.0485572003356,2.8866442306376996,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,131072,32,8,512,0.7032512068748474,131072,1.0,536870912,763.4127133400611,763.4127133400611,5.3619773614944535,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,131072,32,16,512,1.5390464305877685,131072,1.0,536870912,348.833473331254,348.833473331254,11.734543842125346,16,16,32,0.5,,,
compute,divergence-gpu,gpu,divergent,131072,32,32,512,2.5997695922851562,131072,1.0,536870912,206.50711262766134,206.50711262766134,19.822085710853898,16,16,32,0.5,,,
compute,uniform,gpu,uniform,131072,64,1,512,0.12608000189065932,131072,1.0,536870912,4258.176585891804,4258.176585891804,1.0,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,64,2,512,0.21720319986343384,131072,1.0,536870912,2471.744948221558,2471.744948221558,1.7227410898343698,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,64,4,512,0.3735040009021759,131072,1.0,536870912,1437.3899896740634,1437.3899896740634,2.9624365109550896,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,64,8,512,0.6862079977989197,131072,1.0,536870912,782.3734403009973,782.3734403009973,5.44263949483457,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,64,16,512,1.3401407957077027,131072,1.0,536870912,400.60784189208175,400.60784189208175,10.629289146663533,16,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,64,32,512,2.727571153640747,131072,1.0,536870912,196.83112988029208,196.83112988029208,21.633654130225867,16,32,32,1.0,,,
compute,uniform,gpu,uniform,131072,128,1,512,0.12764159888029097,131072,1.0,536870912,4206.08106377221,4206.08106377221,1.0,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,128,2,512,0.21804159879684448,131072,1.0,536870912,2462.2407603065585,2462.2407603065585,1.7082330581062009,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,128,4,512,0.3750463902950287,131072,1.0,536870912,1431.4786807511273,1431.4786807511273,2.9382771258354965,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,128,8,512,0.6989375948905945,131072,1.0,536870912,768.1242444599607,768.1242444599607,5.475782198138202,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,128,16,512,1.3142143726348876,131072,1.0,536870912,408.5109120543399,408.5109120543399,10.296129037583015,8,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,128,32,512,2.569318389892578,131072,1.0,536870912,208.95460605894243,208.95460605894243,20.12916175002023,8,32,32,1.0,,,
compute,uniform,gpu,uniform,131072,256,1,512,0.12773120105266572,131072,1.0,536870912,4203.130539566751,4203.130539566751,1.0,4,32,32,1.0,,,
compute,divergence-gpu,gpu,divergent,131072,256,2,512,0.21856639981269838,131072,1.0,536870912,2456.328660123763,2456.328660123763,1.7111433855740523,4,32,32,1.0,,,
