suite,access_pattern,pattern,n,logical_n,input_elements,block_size,stride,elapsed_ms,bytes_read,bytes_written,index_bytes_read,effective_bytes,bandwidth_gbs,bandwidth_gbs_est,peak_bandwidth_gbs,peak_bandwidth_pct,flops_per_byte_est,resident_blocks_per_sm_est,active_warps_per_sm_est,max_warps_per_sm,occupancy_est,active_warps_measured,max_warps_measured,occupancy_measured
memory,strided,strided,65536,65536,2097152,256,8,0.07872000187635422,262144,262144,0,524288,6.660162442875713,6.660162442875713,495.0,1.3454873621971137,0.125,4,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,256,16,0.3147136032581329,262144,262144,0,524288,1.665920997923852,1.665920997923852,495.0,0.33654969655027317,0.125,4,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,256,32,0.44493439197540285,262144,262144,0,524288,1.1783490093276137,1.1783490093276137,495.0,0.23805030491466941,0.125,4,32,32,1.0,,,
memory,random_gather,random_gather,65536,65536,2097152,256,0,0.3595519959926605,262144,262144,262144,786432,2.187255275356762,2.187255275356762,495.0,0.44186975259732564,0.08333333333333333,4,32,32,1.0,,,
memory,coalesced,coalesced,65536,65536,2097152,512,1,0.06720000058412552,262144,262144,0,524288,7.801904694087923,7.801904694087923,495.0,1.5761423624420048,0.125,2,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,512,1,0.06964479982852936,262144,262144,0,524288,7.528027954575729,7.528027954575729,495.0,1.520813728197117,0.125,2,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,512,2,0.07456000000238419,262144,262144,0,524288,7.031759656427507,7.031759656427507,495.0,1.4205575063489913,0.125,2,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,512,4,0.07692160159349441,262144,262144,0,524288,6.815874723600935,6.815874723600935,495.0,1.3769443886062496,0.125,2,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,512,8,0.08187519907951354,262144,262144,0,524288,6.40350198710155,6.40350198710155,495.0,1.29363676507102,0.125,2,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,512,16,0.3159039974212646,262144,262144,0,524288,1.6596434495282784,1.6596434495282784,495.0,0.33528150495520775,0.125,2,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,512,32,0.3565120041370392,262144,262144,0,524288,1.470604057972953,1.470604057972953,495.0,0.29709172888342483,0.125,2,32,32,1.0,,,
memory,random_gather,random_gather,65536,65536,2097152,512,0,0.4128063917160034,262144,262144,262144,786432,1.9050867810715444,1.9050867810715444,495.0,0.38486601637808976,0.08333333333333333,2,32,32,1.0,,,
memory,coalesced,coalesced,65536,65536,2097152,1024,1,0.07724159955978394,262144,262144,0,524288,6.787637788290601,6.787637788290601,495.0,1.3712399572304244,0.125,1,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,1024,1,0.07834240198135375,262144,262144,0,524288,6.692263534692051,6.692263534692051,495.0,1.3519724312509194,0.125,1,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,1024,2,0.07451519817113876,262144,262144,0,524288,7.035987461187043,7.035987461187043,495.0,1.4214116083206148,0.125,1,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,1024,4,0.09557119905948638,262144,262144,0,524288,5.485836791413148,5.485836791413148,495.0,1.1082498568511412,0.125,1,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,1024,8,0.08489599823951721,262144,262144,0,524288,6.175650335376533,6.175650335376533,495.0,1.2476061283588955,0.125,1,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,1024,16,0.32714239954948426,262144,262144,0,524288,1.6026293159248381,1.6026293159248381,495.0,0.32376349816663397,0.125,1,32,32,1.0,,,
memory,strided,strided,65536,65536,2097152,1024,32,0.3633344054222107,262144,262144,0,524288,1.4429902375767418,1.4429902375767418,495.0,0.2915131793084327,0.125,1,32,32,1.0,,,
memory,random_gather,random_gather,65536,65536,2097152,1024,0,0.41927680373191833,262144,262144,262144,786432,1.8756868803618274,1.8756868803618274,495.0,0.3789266424973389,0.08333333333333333,1,32,32,1.0,,,
memory,coalesced,coalesced,131072,131072,4194304,32,1,0.09363840073347092,524288,524288,0,1048576,11.19814084591887,11.19814084591887,495.0,2.262250675943206,0.125,16,16,32,0.5,,,
memory,strided,strided,131072,131072,4194304,32,1,0.09694079905748368,524288,524288,0,1048576,10.816663470849033,10.816663470849033,495.0,2.185184539565461,0.125,16,16,32,0.5,,,
memory,strided,strided,131072,131072,4194304,32,2,0.11826560050249099,524288,524288,0,1048576,8.86628060522057,8.86628060522057,495.0,1.7911677990344586,0.125,16,16,32,0.5,,,
